Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
23,DeJuan Blair,PF,23,SAS,12,0,6.3,1.8,2.8,.618,0.0,0.0,,1.8,2.8,.618,.618,0.4,0.8,.556,0.5,1.5,2.0,0.6,0.4,0.1,0.1,1.2,3.9,blairde01
24,Steve Blake,PG,32,LAL,2,2,37.5,5.5,14.0,.393,2.5,6.0,.417,3.0,8.0,.375,.482,0.5,0.5,1.000,0.0,4.0,4.0,2.5,2.0,1.5,2.0,4.0,14.0,blakest01
25,Andray Blatche,C,26,BRK,7,0,19.7,4.1,8.3,.500,0.0,0.0,,4.1,8.3,.500,.500,2.0,2.4,.824,1.4,3.4,4.9,1.3,0.3,0.4,0.7,2.0,10.3,blatcan01
26,Eric Bledsoe,PG,23,LAC,6,0,16.2,2.5,5.0,.500,0.2,1.5,.111,2.3,3.5,.667,.517,1.3,2.0,.667,0.3,2.2,2.5,3.0,0.3,0.5,0.8,1.7,6.5,bledser01
27,Keith Bogans,SG,32,BRK,2,0,11.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.5,0.0,boganke01
28,Andrew Bogut,C,28,GSW,12,12,27.3,3.3,5.6,.582,0.0,0.0,,3.3,5.6,.582,.582,0.7,1.9,.348,3.3,7.7,10.9,1.8,0.5,1.5,1.8,3.3,7.2,bogutan01
29,Matt Bonner,PF,32,SAS,20,1,13.4,1.4,3.0,.475,0.8,1.6,.469,0.7,1.4,.481,.602,0.5,0.6,.833,0.5,1.5,2.0,0.3,0.3,0.3,0.1,1.8,4.1,bonnema01
30,Carlos Boozer,PF,31,CHI,12,12,35.9,6.9,14.0,.494,0.0,0.1,.000,6.9,13.9,.497,.494,2.6,3.8,.689,2.9,6.7,9.6,1.5,0.8,0.1,2.4,3.0,16.4,boozeca01
31,Chris Bosh*,C,28,MIA,23,23,32.7,4.8,10.4,.458,0.7,1.6,.405,4.1,8.8,.468,.490,1.9,2.6,.733,1.7,5.6,7.3,1.5,1.0,1.6,1.2,2.9,12.1,boshch01
32,Avery Bradley,PG,22,BOS,6,6,31.8,2.8,7.0,.405,0.3,1.3,.250,2.5,5.7,.441,.429,0.7,0.7,1.000,0.5,1.7,2.2,1.3,1.8,0.2,1.8,1.8,6.7,bradlav01
33,Corey Brewer,SF,26,DEN,6,0,24.3,3.5,11.3,.309,1.5,6.0,.250,2.0,5.3,.375,.375,2.3,3.5,.667,0.5,1.3,1.8,1.2,1.0,0.2,1.2,3.2,10.8,breweco01
34,Ronnie Brewer,SF,27,OKC,1,0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,brewero02
35,Aaron Brooks,PG,28,HOU,6,0,11.2,2.2,5.7,.382,0.2,1.5,.111,2.0,4.2,.480,.397,0.5,0.8,.600,0.5,1.0,1.5,1.8,0.2,0.2,1.0,0.5,5.0,brookaa01
36,MarShon Brooks,SG,24,BRK,7,0,5.7,0.4,1.1,.375,0.0,0.1,.000,0.4,1.0,.429,.375,0.3,0.3,1.000,0.1,0.6,0.7,0.4,0.0,0.0,0.4,0.4,1.1,brookma01
37,Caron Butler,SF,32,LAC,6,6,22.7,3.7,7.7,.478,0.7,2.7,.250,3.0,5.0,.600,.522,0.5,0.5,1.000,0.2,2.5,2.7,0.0,0.3,0.3,1.0,1.8,8.5,butleca01
38,Jimmy Butler,SF,23,CHI,12,12,40.8,4.2,9.6,.435,1.3,3.1,.405,2.9,6.5,.449,.500,3.8,4.6,.818,0.8,4.4,5.2,2.7,1.3,0.5,1.3,2.2,13.3,butleji01
